"min_temp","winter_season","model_type","pred","lwr","upr"
7,"2021-22","parallel",58.2176573856287,48.5527157062717,69.8065099380762
7.5,"2021-22","parallel",58.6775664109663,48.6613034074563,70.7555400044172
8,"2021-22","parallel",59.1223146013066,48.7223026990038,71.7422595030046
8.5,"2021-22","parallel",59.5504900455949,48.7333611615975,72.7686492403277
9,"2021-22","parallel",59.9610710669531,48.6933434270734,73.8361712393156
9.5,"2021-22","parallel",60.3535978770707,48.6017346979586,74.9470528026265
10,"2021-22","parallel",60.7280429267968,48.4582360119174,76.1046109233507
-25,"2022-23","parallel",22.8230610940079,14.8278114815862,35.1293998003472
-24.5,"2022-23","parallel",23.7303123621984,15.7092589362234,35.8468675762298
-24,"2022-23","parallel",24.6736282432925,16.6398953573971,36.5860432179684
-23.5,"2022-23","parallel",25.6544423603113,17.6217611253636,37.3487308184673
-23,"2022-23","parallel",26.6742453249637,18.6567952261898,38.1370623963084
-22.5,"2022-23","parallel",27.7345870030329,19.7467696311339,38.9535772482007
-22,"2022-23","parallel",28.837078869816,20.8932030237907,39.8013227936898
-21.5,"2022-23","parallel",29.9833964591957,22.097248259087,40.6839825795781
-21,"2022-23","parallel",31.1752819100656,23.3595470433928,41.6060380094982
-20.5,"2022-23","parallel",32.4145466139806,24.6800449841581,42.5729707082932
-20,"2022-23","parallel",33.703064459903,26.0577324488812,43.591534920267
-19.5,"2022-23","parallel",35.0425683144064,27.4898611969781,44.6703453782746
-19,"2022-23","parallel",36.4344285749642,28.9717488145788,45.8193806000476
-18.5,"2022-23","parallel",37.8797185638963,30.497991957625,47.0481164948058
-18,"2022-23","parallel",39.3793094848883,32.0637330581519,48.3639884568076
-17.5,"2022-23","parallel",40.9339359417157,33.665447465588,49.7717166359731
-17,"2022-23","parallel",42.5442603937322,35.3013247421723,51.2732625664718
-16.5,"2022-23","parallel",44.2108710483202,36.9713538904093,52.8679886769914
-16,"2022-23","parallel",45.9342704363291,38.6770152653,54.5532582089089
-15.5,"2022-23","parallel",47.7149571378586,40.4201577841445,56.3262802393306
-15,"2022-23","parallel",49.5534905865313,42.201737168113,58.1859561735014
-14.5,"2022-23","parallel",51.4505161751432,44.0211581925789,60.1337112283187
-14,"2022-23","parallel",53.4066908010089,45.8771397763117,62.1720237186042
-13.5,"2022-23","parallel",55.4225511827345,47.7691955269214,64.3020914570713
-13,"2022-23","parallel",57.498285487366,49.6977330318003,66.523212072293
-12.5,"2022-23","parallel",59.6335577074766,51.6640108764534,68.8324646987815
-12,"2022-23","parallel",61.8274763876295,53.670037871964,71.2247836601535
-11.5,"2022-23","parallel",64.0780915955769,55.7164295336477,73.6946329278241
-11,"2022-23","parallel",66.3820450306381,57.8008916748225,76.2371613095568
-10.5,"2022-23","parallel",68.7345158970694,59.9185594192533,78.847584477914
-10,"2022-23","parallel",71.1290935481336,62.062898201265,81.5196856030166
-9.5,"2022-23","parallel",73.5578481022786,64.2270695741354,84.2441832285749
-9,"2022-23","parallel",76.0116006695985,66.4049027347291,87.0080852227917
-8.5,"2022-23","parallel",78.4803008926856,68.5904582488651,89.7961288705688
-8,"2022-23","parallel",80.9535142489113,70.7769377167596,92.5933175503417
-7.5,"2022-23","parallel",83.4209804515025,72.9560965224347,95.386956144919
-7,"2022-23","parallel",85.8731704276771,75.1187895874459,98.1672021048284
-6.5,"2022-23","parallel",88.301772891161,77.2565158511273,100.926155028106
-6,"2022-23","parallel",90.7000454315806,79.363049509119,103.656528978836
-5.5,"2022-23","parallel",93.0629796822032,81.4350956412894,106.351175977977
-5,"2022-23","parallel",95.387254110221,83.4715227317982,109.003980626099
-4.5,"2022-23","parallel",97.6709779532796,85.4716709435502,111.611482834476
-4,"2022-23","parallel",99.9132611438664,87.4338206872052,114.173893739763
-3.5,"2022-23","parallel",102.113672647121,89.3547174900692,116.694478303758
-3,"2022-23","parallel",104.271668939521,91.2302406812745,119.177378709521
-2.5,"2022-23","parallel",106.386082092919,93.0564619480473,121.625067471403
-2,"2022-23","parallel",108.454751506809,94.8300848787281,124.036935529963
-1.5,"2022-23","parallel",110.474364973082,96.5477998892282,126.40977143144
-1,"2022-23","parallel",112.440545434535,98.2050326465541,128.739596300714
-0.5,"2022-23","parallel",114.348183077693,99.7951728359676,131.023441330791
0,"2022-23","parallel",116.191973201228,101.310148076939,133.259845066479
0.5,"2022-23","parallel",117.967084478843,102.742284048126,135.447962339633
1,"2022-23","parallel",119.669855873054,104.086429241112,137.586374218908
1.5,"2022-23","parallel",121.298408836716,105.341052571465,139.673029907663
2,"2022-23","parallel",122.853067851425,106.507691281002,141.706914298675
2.5,"2022-23","parallel",124.336507071902,107.589254236741,143.690623199448
3,"2022-23","parallel",125.753580686175,108.588413008719,145.632140826339
3.5,"2022-23","parallel",127.110843306312,109.507092639344,147.544474943324
4,"2022-23","parallel",128.415816158284,110.347086619248,149.443200947379
4.5,"2022-23","parallel",129.676096755902,111.110825323106,151.34339989777
5,"2022-23","parallel",130.89843730187,111.801117086935,153.25786838738
5.5,"2022-23","parallel",132.088010928165,112.419645957472,155.197452210081
6,"2022-23","parallel",133.248085760566,112.965170788207,157.172801448187
6.5,"2022-23","parallel",134.379725599418,113.431907061287,159.196042101435
7,"2022-23","parallel",135.481956496182,113.810042533873,161.280675477916
7.5,"2022-23","parallel",136.552239591743,114.088141172554,163.439547229705
8,"2022-23","parallel",137.587240958705,114.256343041405,165.682257726109
8.5,"2022-23","parallel",138.583674850429,114.308322712294,168.014318462078
9,"2022-23","parallel",139.539163658667,114.240636659261,170.440035734708
9.5,"2022-23","parallel",140.452637381247,114.051307425765,172.965516946732
10,"2022-23","parallel",141.324031906815,113.738910107551,175.599379100015
-25,"2023-24","parallel",34.6042642255114,22.4531315450159,53.3313181810853
-24.5,"2023-24","parallel",35.9798361732917,23.7882830319853,54.419590069459
-24,"2023-24","parallel",37.4100891907571,25.1980250462262,55.5406533128278
-23.5,"2023-24","parallel",38.8971969333,26.68547193492,56.6972146101737
-23,"2023-24","parallel",40.4434194624093,28.2535906501588,57.8924710160049
-22.5,"2023-24","parallel",42.0511066804425,29.9051029999759,59.1302284781089
-22,"2023-24","parallel",43.7227019019379,31.6423570263793,60.4150525200136
-21.5,"2023-24","parallel",45.4607455668896,33.4671590540946,61.7524596024716
-21,"2023-24","parallel",47.2678791016314,35.380556546511,63.1491591102958
-20.5,"2023-24","parallel",49.1468489331973,37.3825612672081,64.6133565540708
-20,"2023-24","parallel",51.100496247023,39.471759852705,66.1551632467449
