"min_temp","winter_season"
0.4,"2021-22"
1.5,"2021-22"
4.7,"2021-22"
3.8,"2021-22"
-1.3,"2021-22"
-7.8,"2021-22"
-9.8,"2021-22"
-6.6,"2021-22"
-1.3,"2021-22"
3.6,"2021-22"
-0.8,"2021-22"
-1,"2021-22"
1.1,"2021-22"
0.3,"2021-22"
3.7,"2021-22"
7.4,"2021-22"
6.3,"2021-22"
3.5,"2021-22"
2,"2021-22"
2.4,"2021-22"
3.6,"2021-22"
7.4,"2021-22"
8.7,"2021-22"
7.1,"2021-22"
2.9,"2021-22"
-0.9,"2022-23"
-1,"2022-23"
-1.7,"2022-23"
-2.3,"2022-23"
-3.9,"2022-23"
-5.3,"2022-23"
-4.5,"2022-23"
0.7,"2022-23"
0.4,"2022-23"
1.3,"2022-23"
2.7,"2022-23"
2,"2022-23"
3.4,"2022-23"
1.2,"2022-23"
1.8,"2022-23"
-1.3,"2022-23"
-1.5,"2022-23"
0.8,"2022-23"
0.5,"2022-23"
-1.7,"2022-23"
1.2,"2022-23"
5.5,"2022-23"
5.7,"2022-23"
-0.6,"2022-23"
-2.1,"2022-23"
-4.2,"2022-23"
-2.1,"2022-23"
-5.4,"2022-23"
-6,"2022-23"
-5.2,"2022-23"
0.7,"2022-23"
0,"2022-23"
-1,"2022-23"
-1.6,"2022-23"
-1,"2022-23"
-1.5,"2022-23"
-2.5,"2022-23"
1,"2022-23"
-13.7,"2022-23"
-13.5,"2022-23"
-7.9,"2022-23"
-7.3,"2022-23"
-5.5,"2022-23"
0.7,"2022-23"
4.7,"2022-23"
9.9,"2022-23"
4.2,"2022-23"
3.3,"2022-23"
3.5,"2022-23"
2.7,"2022-23"
2.6,"2022-23"
3.2,"2022-23"
2.9,"2022-23"
-4,"2022-23"
-4.6,"2022-23"
-1.4,"2022-23"
-3.1,"2022-23"
-4.5,"2022-23"
-1.4,"2022-23"
-8.8,"2022-23"
-9.2,"2022-23"
-8.3,"2022-23"
-5,"2022-23"
1.9,"2022-23"
2.6,"2022-23"
1.7,"2022-23"
-0.9,"2022-23"
-0.6,"2022-23"
-1.6,"2022-23"
-1.3,"2022-23"
-0.7,"2022-23"
-1.5,"2022-23"
-3.4,"2022-23"
-1.1,"2022-23"
-1.4,"2022-23"
-6.8,"2022-23"
-6.6,"2022-23"
-10.2,"2022-23"
-10.4,"2022-23"
-10.8,"2022-23"
-20.3,"2022-23"
-18.6,"2022-23"
0.7,"2022-23"
-2,"2022-23"
0.2,"2022-23"
2.4,"2022-23"
2.8,"2022-23"
-2.7,"2022-23"
-3.7,"2022-23"
-0.4,"2022-23"
-0.4,"2022-23"
0,"2022-23"
6,"2022-23"
-0.2,"2022-23"
-7.8,"2022-23"
-6.2,"2022-23"
2.4,"2022-23"
-0.9,"2022-23"
-0.5,"2022-23"
-7,"2022-23"
-7,"2022-23"
-9.4,"2022-23"
-8.2,"2022-23"
-3.6,"2022-23"
-5.3,"2022-23"
0.4,"2022-23"
0.4,"2022-23"
-1.3,"2022-23"
-1.4,"2022-23"
-0.7,"2022-23"
-0.4,"2022-23"
-0.7,"2022-23"
-1.7,"2022-23"
-2.2,"2022-23"
-2.4,"2022-23"
-2.3,"2022-23"
-3.4,"2022-23"
-3.2,"2022-23"
-3.3,"2022-23"
-4.3,"2022-23"
-4.5,"2022-23"
1.6,"2022-23"
0.8,"2022-23"
-6,"2022-23"
-6.6,"2022-23"
-1.4,"2022-23"
3.1,"2022-23"
1.9,"2022-23"
0.2,"2022-23"
0.2,"2022-23"
1.9,"2022-23"
3,"2022-23"
2.8,"2022-23"
2.4,"2022-23"
-3.8,"2022-23"
-4.1,"2022-23"
2.1,"2022-23"
-2.4,"2022-23"
-3.5,"2022-23"
2.6,"2022-23"
5.4,"2022-23"
3.4,"2022-23"
4,"2022-23"
-1,"2022-23"
-1.3,"2022-23"
1.7,"2022-23"
4.6,"2022-23"
8.6,"2022-23"
13.1,"2022-23"
15,"2022-23"
14.3,"2022-23"
14.8,"2022-23"
3.7,"2023-24"
4.8,"2023-24"
3.2,"2023-24"
0.8,"2023-24"
-1.6,"2023-24"
-3,"2023-24"
2.6,"2023-24"
3.3,"2023-24"
0.8,"2023-24"
-2.1,"2023-24"
-1.9,"2023-24"
1.8,"2023-24"
-3,"2023-24"
-3.9,"2023-24"
-3.5,"2023-24"
0.5,"2023-24"
1.3,"2023-24"
1.9,"2023-24"
1.7,"2023-24"
1.5,"2023-24"
0.4,"2023-24"
-1.7,"2023-24"
0.6,"2023-24"
4,"2023-24"
8.3,"2023-24"
2.5,"2023-24"
0.8,"2023-24"
-0.1,"2023-24"
-1.2,"2023-24"
-1.7,"2023-24"
4.2,"2023-24"
4.7,"2023-24"
6.1,"2023-24"
-2.9,"2023-24"
-3.6,"2023-24"
0.7,"2023-24"
-4,"2023-24"
-4.2,"2023-24"
1.5,"2023-24"
3.7,"2023-24"
3.5,"2023-24"
5.6,"2023-24"
6.9,"2023-24"
6.2,"2023-24"
1.5,"2023-24"
-0.2,"2023-24"
-1.5,"2023-24"
-3.1,"2023-24"
-1,"2023-24"
0.1,"2023-24"
-5.7,"2023-24"
-2,"2023-24"
-3.7,"2023-24"
-4.2,"2023-24"
1.1,"2023-24"
0.7,"2023-24"
0.7,"2023-24"
0.6,"2023-24"
0.1,"2023-24"
-3.1,"2023-24"
-11.1,"2023-24"
-12.3,"2023-24"
-12.7,"2023-24"
-14.1,"2023-24"
-6.8,"2023-24"
-13.6,"2023-24"
-14.1,"2023-24"
-10.1,"2023-24"
-4.8,"2023-24"
0,"2023-24"
1.1,"2023-24"
2.1,"2023-24"
2.5,"2023-24"
1.8,"2023-24"
1.4,"2023-24"
0.4,"2023-24"
1.2,"2023-24"
2.5,"2023-24"
3.1,"2023-24"
-1.9,"2023-24"
-2.5,"2023-24"
-3.7,"2023-24"
-0.4,"2023-24"
-0.9,"2023-24"
0.8,"2023-24"
1.4,"2023-24"
7.1,"2023-24"
2.8,"2023-24"
1.3,"2023-24"
0,"2023-24"
-6.1,"2023-24"
-6.8,"2023-24"
-3.3,"2023-24"
-4.1,"2023-24"
-6.8,"2023-24"
-6.4,"2023-24"
-9,"2023-24"
-3.9,"2023-24"
1.3,"2023-24"
3,"2023-24"
-9.2,"2023-24"
-11.7,"2023-24"
-3.6,"2023-24"
1.7,"2023-24"
